task,category,priority,due_date
Pay budget,Work,High,2025-06-27
Review budget,Home,Medium,2025-06-01
Send resume,Shopping,Medium,2025-07-30
Buy doctor appointment,Study,Low,2025-07-26
Organize presentation,Work,Low,2025-05-26
Organize car service,Finance,Medium,2025-08-14
Pay assignment,Fitness,High,2025-06-03
Write doctor appointment,Work,Medium,2025-06-24
Pay doctor appointment,Fitness,Medium,2025-08-17
Complete report,Finance,Medium,2025-08-08
Call car service,Fitness,High,2025-07-13
Send exercise,Study,High,2025-06-09
Pay assignment,Shopping,High,2025-08-09
Complete exercise,Personal,Medium,2025-07-16
Pay car service,Health,Medium,2025-08-08
Read doctor appointment,Study,Low,2025-06-16
Prepare invoice,Shopping,Medium,2025-07-30
Write car service,Shopping,Low,2025-06-20
Update email,Work,Low,2025-07-12
Plan budget,Shopping,High,2025-07-19
Submit lecture notes,Home,High,2025-07-13
Read meeting,Personal,High,2025-06-10
Buy resume,Shopping,Low,2025-08-11
Complete proposal,Personal,Low,2025-05-26
Organize car service,Health,Medium,2025-05-23
Write car service,Health,Medium,2025-07-18
Complete assignment,Finance,High,2025-08-10
Pay exam,Finance,Low,2025-07-17
Pay exercise,Health,High,2025-06-26
Send budget,Work,Low,2025-05-29
Read email,Fitness,Low,2025-07-15
Research proposal,Finance,Medium,2025-06-24
Research car service,Fitness,Medium,2025-08-05
Write car service,Study,High,2025-07-17
Buy exercise,Work,Medium,2025-07-13
Attend email,Work,Medium,2025-07-17
Complete invoice,Fitness,High,2025-07-23
Research report,Fitness,Low,2025-08-14
Write car service,Finance,Medium,2025-08-02
Research presentation,Study,High,2025-05-31
Research budget,Work,Low,2025-08-05
Write proposal,Study,High,2025-06-16
Buy report,Shopping,Medium,2025-08-05
Fix assignment,Personal,Low,2025-06-05
Submit car service,Work,High,2025-06-27
Fix exercise,Personal,Medium,2025-06-25
Pay resume,Work,High,2025-06-14
Fix proposal,Home,Low,2025-08-11
Attend meeting,Shopping,High,2025-06-29
Research proposal,Health,Low,2025-06-28
Attend invoice,Study,Medium,2025-07-18
Plan resume,Health,High,2025-07-18
Complete presentation,Work,Low,2025-05-24
Submit doctor appointment,Shopping,Low,2025-07-18
Read email,Fitness,Low,2025-06-10
Update proposal,Work,Low,2025-07-18
Update resume,Health,Medium,2025-08-09
Fix exam,Health,High,2025-06-26
Organize resume,Shopping,Low,2025-08-14
Review exam,Shopping,Low,2025-07-10
Pay resume,Health,High,2025-06-30
Buy exercise,Shopping,Low,2025-06-09
Review meeting,Work,Medium,2025-06-08
Review budget,Personal,High,2025-08-09
Read lecture notes,Work,Low,2025-08-17
Send report,Finance,Low,2025-07-04
Plan proposal,Health,Medium,2025-06-23
Call budget,Personal,Low,2025-06-03
Research assignment,Fitness,High,2025-07-07
Prepare report,Fitness,Medium,2025-07-31
Call exercise,Health,Low,2025-05-29
Plan email,Study,Medium,2025-06-15
Research report,Work,High,2025-06-07
Pay budget,Shopping,Medium,2025-06-22
Complete lecture notes,Finance,Low,2025-08-15
Fix assignment,Study,High,2025-06-18
Write car service,Personal,Low,2025-07-18
Research doctor appointment,Fitness,Low,2025-07-07
Research invoice,Shopping,Low,2025-06-27
Research report,Study,High,2025-08-12
Schedule presentation,Finance,Low,2025-07-04
Organize exam,Study,High,2025-08-12
Plan exercise,Personal,High,2025-05-29
Read doctor appointment,Fitness,Low,2025-07-09
Update proposal,Home,High,2025-07-14
Pay presentation,Study,Low,2025-06-27
Attend resume,Study,Low,2025-08-07
Plan lecture notes,Personal,Low,2025-07-04
Submit proposal,Finance,Low,2025-06-19
Read resume,Health,Medium,2025-06-03
Read proposal,Shopping,Medium,2025-06-12
Send resume,Finance,High,2025-05-29
Fix email,Health,High,2025-06-04
Write doctor appointment,Health,High,2025-08-04
Call meeting,Study,High,2025-06-02
Write doctor appointment,Home,High,2025-05-25
Organize email,Shopping,High,2025-06-26
Fix budget,Personal,High,2025-06-04
Fix email,Fitness,Low,2025-06-16
Send presentation,Personal,Low,2025-07-07
Prepare assignment,Shopping,Medium,2025-07-30
Send budget,Finance,Medium,2025-06-26
Write email,Shopping,High,2025-07-16
Write exercise,Fitness,Low,2025-05-25
Organize exam,Work,Low,2025-06-30
Clean resume,Fitness,Medium,2025-05-27
Send doctor appointment,Personal,High,2025-08-02
Plan resume,Shopping,Low,2025-05-27
Read exercise,Finance,Medium,2025-07-01
Attend proposal,Work,High,2025-07-26
Clean doctor appointment,Finance,Medium,2025-05-31
Update report,Health,Medium,2025-07-15
Write email,Finance,Low,2025-06-22
Organize budget,Health,High,2025-07-28
Buy email,Home,High,2025-06-01
Clean car service,Finance,High,2025-07-11
Read exercise,Study,Medium,2025-05-20
Buy report,Health,Medium,2025-07-02
Call report,Personal,Low,2025-07-19
Research budget,Work,Medium,2025-08-10
Submit exam,Health,Medium,2025-06-06
Write report,Home,Low,2025-07-08
Send report,Health,Low,2025-07-13
Buy invoice,Fitness,Medium,2025-06-03
Complete proposal,Work,High,2025-06-26
Review report,Personal,Medium,2025-07-28
Fix report,Finance,Low,2025-07-28
Update exam,Work,High,2025-07-15
Clean exercise,Finance,Low,2025-07-31
Clean resume,Fitness,Low,2025-07-25
Organize assignment,Study,Medium,2025-07-28
Update proposal,Home,High,2025-06-22
Buy exercise,Health,Low,2025-08-07
Read resume,Shopping,Low,2025-05-25
Pay email,Home,High,2025-08-06
Buy resume,Shopping,High,2025-06-11
Buy report,Shopping,High,2025-05-24
Update report,Home,Medium,2025-07-20
Send assignment,Shopping,High,2025-08-04
Call resume,Home,Medium,2025-07-12
Buy car service,Study,High,2025-07-21
Organize resume,Study,High,2025-06-21
Prepare proposal,Shopping,Low,2025-08-11
Submit meeting,Fitness,High,2025-08-06
Buy presentation,Health,Low,2025-07-19
Research car service,Home,Low,2025-06-03
Fix report,Personal,High,2025-06-22
Send email,Work,Medium,2025-07-02
Review email,Work,Medium,2025-06-14
Update exam,Home,High,2025-07-18
Organize budget,Health,Low,2025-05-30
Send lecture notes,Health,Medium,2025-08-02
Attend presentation,Finance,Medium,2025-07-04
Send meeting,Shopping,Medium,2025-07-05
Clean email,Work,Low,2025-07-26
Schedule email,Work,Medium,2025-06-11
Fix proposal,Personal,Low,2025-07-14
Fix car service,Finance,Low,2025-06-23
Write email,Shopping,High,2025-06-07
Call invoice,Study,High,2025-07-05
Research proposal,Personal,High,2025-07-11
Fix doctor appointment,Work,Medium,2025-07-24
Fix meeting,Study,Medium,2025-06-14
Call email,Home,High,2025-06-05
Send car service,Health,Medium,2025-08-06
Research exercise,Home,Low,2025-08-10
Research presentation,Health,Low,2025-08-04
Prepare doctor appointment,Health,High,2025-07-18
Organize report,Health,Medium,2025-06-20
Prepare car service,Fitness,High,2025-05-28
Submit budget,Shopping,Low,2025-07-13
Research exercise,Study,Medium,2025-06-30
Send car service,Work,Medium,2025-06-20
Submit car service,Personal,Low,2025-07-12
Plan email,Study,Low,2025-07-03
Buy assignment,Personal,Low,2025-07-30
Research meeting,Personal,Low,2025-07-31
Clean meeting,Health,Medium,2025-05-31
Update invoice,Home,High,2025-05-21
Complete report,Fitness,Low,2025-07-09
Schedule invoice,Fitness,Low,2025-07-31
Send lecture notes,Personal,Medium,2025-07-09
Complete invoice,Finance,High,2025-07-13
Read presentation,Personal,High,2025-08-13
Prepare exam,Shopping,High,2025-07-10
Plan lecture notes,Finance,Medium,2025-06-09
Plan exercise,Home,High,2025-05-25
Review presentation,Finance,High,2025-06-17
Review proposal,Fitness,Low,2025-07-09
Complete exercise,Finance,Medium,2025-05-28
Submit email,Shopping,Low,2025-05-20
Complete lecture notes,Home,Medium,2025-08-01
Organize budget,Shopping,High,2025-06-14
Review meeting,Health,High,2025-08-04
Clean exercise,Fitness,Medium,2025-07-31
Plan proposal,Home,Medium,2025-07-14
Research resume,Work,High,2025-05-29
Update resume,Home,High,2025-06-20
Organize assignment,Home,High,2025-07-15
Pay invoice,Home,Medium,2025-05-29
Research exercise,Shopping,Medium,2025-07-01
Complete invoice,Health,High,2025-06-25
Pay lecture notes,Personal,Low,2025-08-08
Fix email,Health,Low,2025-08-08
Pay report,Shopping,Medium,2025-05-26
Plan assignment,Health,High,2025-07-21
Pay exam,Study,High,2025-08-04
Fix meeting,Personal,High,2025-07-21
Submit exercise,Health,Medium,2025-06-03
Read report,Study,High,2025-08-16
Schedule doctor appointment,Finance,High,2025-05-20
Submit meeting,Work,High,2025-07-21
Buy invoice,Fitness,Medium,2025-06-19
Review email,Shopping,Medium,2025-06-01
Schedule exam,Fitness,Low,2025-06-06
Review lecture notes,Finance,High,2025-08-17
Update assignment,Shopping,Medium,2025-06-01
Call lecture notes,Home,Medium,2025-06-11
Write meeting,Study,Medium,2025-06-18
Attend exam,Finance,Medium,2025-07-12
Complete car service,Health,High,2025-07-07
Review exercise,Shopping,Medium,2025-08-11
Pay budget,Finance,High,2025-05-27
Update proposal,Personal,High,2025-07-26
Complete resume,Shopping,High,2025-06-30
Schedule invoice,Personal,Medium,2025-05-31
Fix assignment,Study,High,2025-07-11
Write invoice,Study,Low,2025-07-02
Complete exercise,Work,Low,2025-06-12
Prepare invoice,Shopping,Low,2025-07-16
Pay assignment,Fitness,High,2025-06-22
Write resume,Work,High,2025-08-09
Prepare doctor appointment,Home,High,2025-07-08
Research email,Health,Medium,2025-06-15
Plan car service,Work,Medium,2025-06-29
Submit meeting,Finance,High,2025-06-22
Submit resume,Study,Medium,2025-06-06
Pay report,Fitness,Low,2025-06-22
Review lecture notes,Work,Medium,2025-06-22
Write presentation,Personal,Low,2025-07-03
Research budget,Fitness,Low,2025-05-29
Complete budget,Home,Medium,2025-06-25
Call proposal,Home,Low,2025-06-02
Attend resume,Work,Medium,2025-06-11
Send meeting,Home,Low,2025-06-24
Submit exam,Fitness,Medium,2025-08-10
Update presentation,Home,Low,2025-06-17
Send doctor appointment,Finance,Medium,2025-08-17
Attend exercise,Finance,Low,2025-06-20
Clean invoice,Fitness,Medium,2025-08-16
Organize resume,Study,Low,2025-07-24
Send proposal,Health,High,2025-06-21
Plan car service,Finance,High,2025-05-20
Update exam,Health,Low,2025-06-19
Clean exercise,Study,Low,2025-08-15
Attend car service,Health,Low,2025-07-10
Review proposal,Study,Medium,2025-08-08
Organize lecture notes,Finance,Medium,2025-07-06
Write resume,Finance,High,2025-07-02
Research report,Study,Low,2025-08-05
Prepare meeting,Home,Low,2025-07-27
Plan doctor appointment,Study,Medium,2025-06-30
Read invoice,Work,Low,2025-06-29
Attend email,Finance,Low,2025-06-22
Schedule report,Home,Low,2025-05-24
Schedule doctor appointment,Finance,Low,2025-06-28
Call lecture notes,Personal,Medium,2025-07-20
Read assignment,Shopping,Low,2025-07-26
Buy invoice,Health,Medium,2025-06-15
Prepare assignment,Home,High,2025-07-06
Call doctor appointment,Study,Low,2025-05-22
Research report,Fitness,Low,2025-08-10
Send meeting,Home,Low,2025-06-13
Pay proposal,Shopping,Low,2025-07-24
Review exercise,Shopping,Low,2025-06-07
Review assignment,Fitness,Low,2025-07-26
Prepare car service,Fitness,Medium,2025-07-16
Read exercise,Shopping,Medium,2025-08-15
Plan presentation,Home,Low,2025-05-28
Plan car service,Personal,Low,2025-06-23
Attend email,Shopping,Medium,2025-07-04
Submit report,Shopping,High,2025-06-19
Review proposal,Home,Low,2025-08-15
Plan budget,Home,High,2025-06-18
Attend exam,Study,High,2025-05-24
Buy budget,Health,High,2025-06-05
Send exam,Study,Medium,2025-05-25
Update doctor appointment,Home,High,2025-07-22
Fix budget,Work,Medium,2025-06-06
Update invoice,Finance,Medium,2025-08-01
Call budget,Work,Low,2025-08-13
Buy doctor appointment,Work,Medium,2025-08-15
Update assignment,Study,Low,2025-07-15
Write lecture notes,Health,Medium,2025-06-25
Clean budget,Finance,High,2025-08-01
Attend proposal,Finance,Low,2025-07-25
Plan invoice,Home,Medium,2025-08-04
Read exam,Study,Medium,2025-06-21
Clean assignment,Finance,High,2025-08-01
Pay presentation,Fitness,Low,2025-08-04
Fix presentation,Shopping,High,2025-05-28
Clean assignment,Health,High,2025-07-25
Call exam,Health,High,2025-06-29
Read exam,Personal,Medium,2025-06-30
Write resume,Home,Low,2025-06-28
Call exam,Home,Medium,2025-06-24
Clean lecture notes,Health,Medium,2025-07-23
Organize assignment,Health,Medium,2025-08-08
Plan meeting,Shopping,Medium,2025-05-21
Prepare email,Health,Medium,2025-06-02
Pay meeting,Finance,Medium,2025-07-17
Call doctor appointment,Home,High,2025-08-10
Complete exam,Finance,Medium,2025-05-29
Schedule meeting,Home,High,2025-08-02
Send meeting,Finance,Low,2025-06-26
Send email,Fitness,Medium,2025-05-29
Prepare meeting,Work,Low,2025-08-05
Send invoice,Health,High,2025-06-21
Research presentation,Study,Low,2025-07-23
Clean meeting,Fitness,High,2025-08-17
Buy exam,Personal,Low,2025-07-14
Call exercise,Personal,Medium,2025-06-18
Schedule email,Personal,High,2025-06-24
Clean meeting,Fitness,Low,2025-07-06
Read invoice,Fitness,Medium,2025-08-03
Fix resume,Study,Medium,2025-05-29
Fix doctor appointment,Home,Low,2025-08-14
Attend exam,Home,Medium,2025-07-30
Review lecture notes,Health,Low,2025-07-01
Send doctor appointment,Study,Medium,2025-06-14
Schedule lecture notes,Health,Medium,2025-07-03
Organize resume,Home,High,2025-08-02
Review email,Shopping,High,2025-05-24
Call email,Finance,Low,2025-05-26
Research meeting,Work,Medium,2025-08-03
Research invoice,Study,Medium,2025-06-27
Call meeting,Study,High,2025-07-06
Schedule invoice,Personal,Low,2025-06-26
Plan car service,Home,Low,2025-06-18
Attend budget,Study,High,2025-05-22
Organize invoice,Personal,Low,2025-08-02
Call resume,Finance,Low,2025-08-03
Fix lecture notes,Home,Low,2025-07-25
Buy presentation,Health,High,2025-06-22
Read report,Study,High,2025-06-13
Send car service,Home,Low,2025-06-18
Organize assignment,Finance,Medium,2025-07-22
Organize budget,Shopping,Medium,2025-07-16
Prepare email,Health,Low,2025-07-02
Write budget,Health,High,2025-07-12
Plan budget,Work,Medium,2025-07-18
Clean exam,Fitness,High,2025-06-14
Pay invoice,Shopping,Medium,2025-06-18
Plan doctor appointment,Health,Medium,2025-07-11
Pay exercise,Shopping,High,2025-05-22
Clean email,Fitness,Medium,2025-06-16
Prepare email,Fitness,Low,2025-05-24
Research invoice,Work,High,2025-07-22
Plan report,Fitness,Low,2025-05-20
Call proposal,Finance,Low,2025-07-14
Call invoice,Home,Medium,2025-06-02
Write exercise,Home,Low,2025-05-22
Plan assignment,Study,Low,2025-07-25
Pay proposal,Home,Medium,2025-06-02
Schedule budget,Fitness,High,2025-07-23
Clean car service,Health,Low,2025-08-15
Update lecture notes,Health,Medium,2025-08-01
Clean proposal,Fitness,Medium,2025-07-22
Organize exercise,Shopping,High,2025-08-11
Schedule exam,Finance,High,2025-07-02
Research proposal,Fitness,Low,2025-07-19
Send doctor appointment,Finance,Low,2025-08-15
Organize assignment,Work,High,2025-06-17
Read report,Fitness,Medium,2025-06-18
Complete lecture notes,Health,Medium,2025-06-21
Write email,Home,High,2025-06-13
Submit doctor appointment,Home,Low,2025-08-02
Prepare presentation,Work,High,2025-06-12
Plan lecture notes,Personal,High,2025-07-06
Plan budget,Personal,Low,2025-08-13
Review budget,Home,Medium,2025-08-02
Call assignment,Study,Low,2025-07-15
Submit doctor appointment,Health,Medium,2025-07-27
Fix budget,Personal,High,2025-07-30
Write invoice,Shopping,High,2025-07-30
Send doctor appointment,Finance,Low,2025-08-01
Prepare invoice,Shopping,Low,2025-06-16
Read resume,Home,High,2025-07-31
Clean resume,Personal,Medium,2025-08-09
Organize invoice,Home,Medium,2025-05-30
Write invoice,Personal,High,2025-06-29
Write invoice,Fitness,Low,2025-06-22
Call doctor appointment,Study,High,2025-07-04
Attend invoice,Health,Low,2025-07-03
Read budget,Personal,Low,2025-06-07
Review assignment,Work,Medium,2025-05-27
Write doctor appointment,Health,Low,2025-07-29
Buy report,Health,Low,2025-07-16
Write report,Fitness,Medium,2025-07-27
Call invoice,Finance,Low,2025-08-15
Submit email,Study,Medium,2025-07-05
Update doctor appointment,Work,Low,2025-07-17
Buy proposal,Study,High,2025-05-31
Call invoice,Health,Medium,2025-07-31
Attend meeting,Finance,High,2025-07-26
Clean doctor appointment,Finance,Low,2025-08-08
Clean doctor appointment,Health,Medium,2025-08-07
Call invoice,Fitness,Low,2025-07-17
Clean meeting,Work,Low,2025-07-16
Send exam,Work,Low,2025-07-08
Organize exercise,Fitness,High,2025-06-30
Write report,Fitness,Medium,2025-08-08
Attend car service,Study,Low,2025-07-18
Plan assignment,Shopping,High,2025-05-31
Call assignment,Personal,Low,2025-05-27
Prepare meeting,Finance,Medium,2025-05-23
Buy budget,Finance,Low,2025-06-22
Buy car service,Health,High,2025-06-12
Review resume,Health,Medium,2025-08-09
Submit exam,Finance,High,2025-08-09
Schedule resume,Home,Medium,2025-06-05
Read presentation,Work,Medium,2025-07-13
Clean presentation,Personal,Low,2025-07-15
Prepare car service,Work,High,2025-06-06
Prepare proposal,Work,Low,2025-07-22
Research exam,Fitness,Low,2025-06-22
Complete resume,Work,Low,2025-06-21
Fix proposal,Health,Low,2025-06-25
Prepare resume,Fitness,High,2025-07-26
Clean doctor appointment,Study,High,2025-07-01
Clean budget,Study,High,2025-05-26
Clean resume,Shopping,Low,2025-06-19
Organize report,Personal,Medium,2025-07-13
Research exercise,Health,Medium,2025-07-13
Review assignment,Fitness,Medium,2025-06-10
Pay doctor appointment,Finance,Low,2025-07-03
Fix meeting,Personal,Low,2025-06-14
Research exam,Shopping,High,2025-05-24
Schedule invoice,Home,Medium,2025-07-11
Send doctor appointment,Health,Medium,2025-08-03
Prepare presentation,Study,High,2025-08-03
Clean report,Home,High,2025-07-29
Fix meeting,Study,Low,2025-06-22
Write meeting,Personal,Low,2025-08-04
Attend proposal,Home,Medium,2025-06-01
Buy assignment,Home,High,2025-06-30
Call resume,Fitness,High,2025-06-05
Update lecture notes,Work,Medium,2025-07-16
Pay meeting,Shopping,High,2025-07-17
Submit resume,Personal,Low,2025-06-15
Complete resume,Study,Medium,2025-08-01
Prepare meeting,Work,Medium,2025-06-06
Complete exercise,Finance,High,2025-06-07
Clean exercise,Finance,Medium,2025-08-11
Fix resume,Finance,High,2025-07-15
Write assignment,Personal,High,2025-06-12
Research assignment,Shopping,High,2025-07-07
Clean resume,Study,High,2025-07-12
Call budget,Shopping,High,2025-05-24
Review budget,Study,Medium,2025-05-25
Pay email,Finance,Medium,2025-06-01
Buy presentation,Fitness,High,2025-07-20
Call presentation,Home,Medium,2025-08-14
Read exercise,Shopping,Low,2025-06-02
Read meeting,Health,Low,2025-06-02
Clean report,Work,High,2025-07-09
Fix proposal,Personal,Medium,2025-06-01
Organize doctor appointment,Fitness,High,2025-07-02
Attend car service,Study,High,2025-05-23
Clean resume,Health,High,2025-06-01
Schedule car service,Fitness,Medium,2025-07-21
Plan email,Shopping,High,2025-08-02
Pay budget,Shopping,Low,2025-07-23
Call doctor appointment,Finance,Medium,2025-08-09
Clean presentation,Personal,High,2025-06-25
Buy budget,Home,Low,2025-05-25
Review resume,Study,Low,2025-06-24
Pay presentation,Home,High,2025-07-16
Submit resume,Home,Medium,2025-06-14
Fix proposal,Finance,High,2025-06-20
Organize assignment,Work,Low,2025-07-03
Clean report,Personal,High,2025-07-12
Clean doctor appointment,Fitness,Low,2025-07-07
Send report,Personal,Low,2025-06-09
Plan proposal,Work,High,2025-05-31
Fix lecture notes,Home,High,2025-07-25
Clean email,Health,Medium,2025-08-01
Organize lecture notes,Work,Low,2025-06-02
Update proposal,Work,Medium,2025-05-26
Complete exercise,Fitness,Low,2025-08-07
Call proposal,Health,Medium,2025-06-06
Research assignment,Fitness,Medium,2025-07-04
Submit proposal,Study,High,2025-06-25
Pay exercise,Fitness,Low,2025-05-26
Write doctor appointment,Finance,High,2025-08-05
Submit email,Study,Medium,2025-06-26
Schedule presentation,Personal,Low,2025-08-02
Review invoice,Finance,Medium,2025-07-24
Update email,Fitness,Low,2025-07-12
Submit meeting,Personal,Medium,2025-06-10
Organize report,Work,Medium,2025-08-03
Plan proposal,Finance,Low,2025-06-11
Attend email,Work,Low,2025-08-02
Send presentation,Study,High,2025-06-17
Send meeting,Home,Medium,2025-07-08
Fix doctor appointment,Work,Low,2025-08-15
Write assignment,Home,Medium,2025-06-23
Complete proposal,Shopping,Medium,2025-08-01
Attend car service,Study,Medium,2025-07-18
Attend invoice,Health,Medium,2025-08-05
Pay doctor appointment,Fitness,Low,2025-06-24
Complete exam,Personal,Medium,2025-05-24
Prepare proposal,Fitness,Low,2025-07-14
Write assignment,Finance,Low,2025-08-09
Complete email,Work,High,2025-06-05
Prepare proposal,Health,High,2025-08-05
Clean meeting,Health,High,2025-06-27
Buy proposal,Home,Low,2025-06-22
Buy resume,Personal,Medium,2025-07-01
Update proposal,Shopping,High,2025-06-01
Buy resume,Health,High,2025-07-02
Pay meeting,Personal,Medium,2025-06-27
Plan doctor appointment,Study,High,2025-08-06
Fix exercise,Personal,Medium,2025-06-29
Send meeting,Personal,High,2025-05-21
Buy doctor appointment,Home,High,2025-07-07
Schedule exercise,Health,Medium,2025-06-29
Read proposal,Health,Low,2025-08-03
Plan doctor appointment,Health,Medium,2025-06-08
Prepare report,Work,Low,2025-08-05
Prepare car service,Fitness,Low,2025-06-27
Clean resume,Work,Medium,2025-06-25
Buy exercise,Shopping,Medium,2025-07-06
Prepare exercise,Fitness,Medium,2025-08-15
Research doctor appointment,Home,Medium,2025-06-10
Read invoice,Finance,High,2025-05-30
Buy lecture notes,Study,Medium,2025-05-23
Review budget,Study,High,2025-07-03
Pay exercise,Work,Medium,2025-08-10
Read exercise,Work,High,2025-07-21
Submit doctor appointment,Home,Medium,2025-07-12
Research email,Fitness,Low,2025-06-07
Fix meeting,Study,Medium,2025-06-25
Write budget,Study,Low,2025-08-11
Review exam,Shopping,Low,2025-07-30
Buy doctor appointment,Work,High,2025-06-06
Call presentation,Shopping,High,2025-08-15
Research email,Health,Low,2025-07-17
Clean car service,Personal,High,2025-06-03
Organize presentation,Study,Medium,2025-05-29
Schedule exercise,Home,Low,2025-06-13
Plan email,Home,Medium,2025-06-20
Prepare doctor appointment,Shopping,High,2025-08-09
Prepare resume,Fitness,Low,2025-06-29
Organize resume,Study,High,2025-08-01
Send lecture notes,Work,High,2025-08-16
Write email,Personal,Medium,2025-06-18
Plan exercise,Fitness,High,2025-08-07
Submit lecture notes,Shopping,Low,2025-06-17
Buy invoice,Personal,Medium,2025-07-10
Call report,Fitness,High,2025-08-13
Update budget,Home,Low,2025-07-08
Read email,Home,High,2025-06-14
Fix exam,Health,Low,2025-07-10
Call doctor appointment,Shopping,High,2025-07-11
Schedule assignment,Personal,High,2025-07-09
Update assignment,Shopping,Medium,2025-07-10
Write exam,Health,High,2025-08-14
Call email,Study,Low,2025-07-28
Attend car service,Fitness,High,2025-08-09
Prepare exam,Personal,Medium,2025-08-08
Schedule invoice,Shopping,High,2025-08-10
Organize exercise,Fitness,Low,2025-06-10
Fix resume,Home,Medium,2025-05-21
Write report,Finance,High,2025-06-10
Attend report,Fitness,Low,2025-07-15
Complete resume,Work,Medium,2025-06-25
Read email,Study,High,2025-05-22
Review doctor appointment,Health,Low,2025-06-27
Research resume,Home,High,2025-08-08
Complete report,Home,Medium,2025-05-25
Review meeting,Personal,High,2025-06-05
Plan assignment,Fitness,Low,2025-07-26
Review email,Finance,High,2025-06-06
Clean car service,Work,Low,2025-06-21
Read budget,Health,Medium,2025-06-07
Organize budget,Personal,Low,2025-06-26
Attend invoice,Personal,Low,2025-07-13
Write resume,Fitness,High,2025-06-19
Schedule doctor appointment,Fitness,High,2025-07-18
Prepare presentation,Personal,High,2025-07-22
Review budget,Finance,High,2025-08-13
Plan doctor appointment,Shopping,Medium,2025-06-01
Organize car service,Work,High,2025-07-12
Write lecture notes,Study,High,2025-06-05
Plan exam,Shopping,Low,2025-05-22
Schedule budget,Finance,Low,2025-07-25
Organize report,Shopping,Medium,2025-08-15
Submit car service,Shopping,Low,2025-06-28
Prepare proposal,Work,High,2025-07-28
Submit exercise,Study,High,2025-07-30
Plan assignment,Shopping,High,2025-07-03
Update exam,Study,Low,2025-05-22
Fix report,Study,High,2025-06-02
Complete budget,Home,Low,2025-08-03
Organize resume,Fitness,Medium,2025-07-22
Complete assignment,Shopping,High,2025-08-04
Update car service,Fitness,Medium,2025-08-07
Plan assignment,Shopping,Low,2025-06-05
Research invoice,Health,Low,2025-06-04
Clean email,Work,High,2025-07-23
Call assignment,Fitness,Low,2025-08-17
Write doctor appointment,Work,High,2025-07-09
Update budget,Personal,Low,2025-07-30
Send proposal,Home,High,2025-06-01
Prepare report,Shopping,Low,2025-06-17
Write exercise,Personal,Medium,2025-07-28
Buy doctor appointment,Fitness,High,2025-07-23
Organize exam,Finance,Low,2025-06-27
Organize budget,Personal,Low,2025-07-07
Prepare car service,Home,Low,2025-06-18
Organize presentation,Work,High,2025-06-25
Call email,Fitness,Medium,2025-06-16
Attend proposal,Work,Medium,2025-07-06
Research email,Study,Low,2025-06-05
Organize invoice,Shopping,High,2025-06-09
Attend car service,Work,High,2025-06-11
Attend report,Health,Low,2025-06-09
Submit invoice,Home,High,2025-06-11
Update resume,Health,Low,2025-07-09
Send exam,Home,Low,2025-05-31
Read email,Work,High,2025-08-16
Clean exam,Finance,Low,2025-06-17
Complete email,Home,High,2025-07-16
Call lecture notes,Shopping,High,2025-07-03
Pay invoice,Fitness,Medium,2025-06-16
Prepare email,Fitness,Medium,2025-07-04
Submit lecture notes,Finance,Medium,2025-07-17
Call email,Personal,High,2025-06-21
Review invoice,Work,Medium,2025-08-07
Organize invoice,Study,Medium,2025-07-21
Call invoice,Shopping,Medium,2025-06-28
Submit doctor appointment,Study,Medium,2025-06-16
Read assignment,Fitness,High,2025-06-28
Attend invoice,Finance,Medium,2025-07-15
Clean proposal,Shopping,Medium,2025-06-08
Call invoice,Health,Low,2025-07-24
Clean exam,Finance,Medium,2025-06-27
Research car service,Shopping,Medium,2025-08-09
Read presentation,Work,Medium,2025-06-02
Send email,Fitness,Medium,2025-07-02
Complete lecture notes,Study,Low,2025-07-08
Prepare report,Personal,Medium,2025-06-07
Buy presentation,Shopping,Low,2025-06-13
Review report,Fitness,High,2025-08-13
Complete invoice,Finance,Low,2025-05-28
Fix assignment,Finance,High,2025-07-04
Attend budget,Study,High,2025-08-12
Submit invoice,Personal,High,2025-06-04
Plan presentation,Work,Low,2025-05-22
Fix invoice,Shopping,High,2025-06-15
Prepare meeting,Health,Medium,2025-07-22
Submit exam,Study,High,2025-06-26
Research resume,Home,Medium,2025-06-26
Schedule invoice,Health,High,2025-08-02
Prepare email,Fitness,Medium,2025-06-10
Organize exam,Health,Medium,2025-06-07
Pay presentation,Finance,High,2025-05-21
Plan meeting,Shopping,High,2025-08-09
Call doctor appointment,Finance,High,2025-06-01
Organize assignment,Shopping,High,2025-06-25
Plan proposal,Health,High,2025-06-16
Call assignment,Work,High,2025-06-28
Call invoice,Personal,High,2025-06-28
Clean resume,Shopping,High,2025-06-30
Write invoice,Fitness,Low,2025-06-20
Complete budget,Health,Medium,2025-06-04
Attend exam,Health,High,2025-05-20
Buy resume,Study,High,2025-06-08
Attend email,Fitness,Medium,2025-07-06
Write lecture notes,Home,Low,2025-05-28
Send presentation,Finance,Low,2025-06-29
Review exam,Fitness,High,2025-07-15
Submit exercise,Health,Medium,2025-06-24
Update proposal,Finance,High,2025-07-28
Schedule report,Finance,Low,2025-06-06
Plan meeting,Study,Medium,2025-05-25
Submit email,Shopping,Low,2025-05-20
Fix proposal,Health,High,2025-06-22
Prepare resume,Work,Medium,2025-07-08
Prepare presentation,Personal,Low,2025-07-04
Pay car service,Personal,Medium,2025-07-21
Plan proposal,Fitness,Low,2025-06-29
